data	time(s)	temperature(C)
0	0.14	48.63
1	60.19	47.66
2	120.22	48.63
3	180.24	48.14
4	240.26	48.63
5	300.28	47.66
6	360.31	46.68
7	420.33	46.68
8	480.35	46.19
9	540.37	46.68
10	600.4	46.19
11	660.42	45.21
12	720.44	45.7
13	780.46	45.21
14	840.49	43.75
15	900.51	44.24
16	960.53	43.26
17	1020.55	45.21
18	1080.58	43.26
19	1140.6	42.77
20	1200.62	43.26
21	1260.65	41.8
22	1320.67	40.82
23	1380.69	41.8
24	1440.71	42.29
25	1500.73	42.77
26	1560.76	42.77
27	1620.78	41.31
28	1680.8	41.31
29	1740.83	41.31
30	1800.85	40.82
31	1860.87	40.82
32	1920.9	39.84
33	1980.92	40.33
34	2040.94	38.87
35	2100.97	39.36
36	2160.99	39.36
37	2221.01	38.87
38	2281.03	38.87
39	2341.05	38.87
