data	time(s)	temperature(C)\
0	0.07	58.89\
1	5.12	58.89\
2	10.15	58.89\
3	15.17	58.40\
4	20.19	58.40\
5	25.21	59.38\
6	30.24	58.40\
7	35.26	57.91\
8	40.28	58.40\
9	45.3	58.40\
10	50.33	57.91\
11	55.35	58.40\
12	60.37	58.89\
13	65.39	58.89\
14	70.42	58.40\
15	75.44	58.89\
16	80.46	58.89\
17	85.48	58.89\
18	90.51	58.40\
19	95.53	58.89\
20	100.55	58.89\
21	105.57	59.38\
22	110.6	58.89\
23	115.62	57.91\
24	120.64	58.40\
25	125.67	59.38\
26	130.69	58.89\
27	135.71	57.91\
28	140.74	58.89\
29	145.76	59.38\
30	150.78	59.38\
31	155.8	59.38\
32	160.83	59.38\
33	165.85	59.38\
34	170.87	58.40\
35	175.89	58.40\
36	180.92	58.89\
37	185.94	58.89\
38	190.96	57.91\
39	195.98	57.91\
40	201.01	58.40\
41	206.03	58.40\
42	211.05	58.40\
43	216.07	56.93\
44	221.1	57.91\
45	226.12	58.89\
46	231.14	57.91\
47	236.16	57.91\
48	241.19	57.91\
49	246.21	57.91\
50	251.23	58.89\
51	256.25	57.91\
52	261.28	58.40\
53	266.3	57.91\
54	271.33	57.91\
55	276.35	57.91\
56	281.37	57.91\
57	286.39	57.42\
58	291.42	57.42\
59	296.44	57.42\
60	301.46	57.91\
61	306.48	57.91\
62	311.51	56.93\
63	316.53	57.42\
64	321.55	57.42\
65	326.58	57.42\
66	331.6	57.42\
67	336.62	57.91\
68	341.64	57.42\
69	346.66	56.93\
70	351.69	56.93\
71	356.71	56.45\
72	361.73	57.91\
73	366.76	56.93\
74	371.78	56.93\
75	376.8	56.93\
76	381.82	57.42\
77	386.85	57.42\
78	391.87	56.93\
79	396.89	56.45\
80	401.91	56.93\
81	406.94	57.42\
82	411.96	57.42\
83	416.98	55.96\
84	422.01	57.42\
85	427.03	56.93\
86	432.05	55.96\
87	437.08	55.96\
88	442.1	56.93\
89	447.12	57.42\
90	452.14	57.42\
91	457.17	56.93\
92	462.19	56.93\
93	467.21	56.45\
94	472.23	56.93\
95	477.26	56.45\
96	482.28	56.45\
97	487.3	56.45\
98	492.32	56.45\
99	497.35	56.45\
100	502.37	55.96\
101	507.39	56.45\
102	512.41	55.47\
103	517.44	55.96\
104	522.46	55.96\
105	527.48	55.96\
106	532.5	55.96\
107	537.53	55.96\
108	542.55	54.98\
109	547.57	55.96\
110	552.59	55.47\
111	557.62	55.47\
112	562.64	54.98\
113	567.66	54.98\
114	572.69	55.96\
115	577.71	54.98\
116	582.73	54.98\
117	587.76	54.98\
118	592.78	54.98\
119	597.8	54.98\
120	602.83	54.98\
121	607.85	54.98\
122	612.87	54.98\
123	617.89	54.98\
124	622.92	55.47\
125	627.94	54.49\
126	632.96	54.98\
127	637.98	54.98\
128	643.01	54.49\
129	648.03	54.98\
130	653.05	54.49\
131	658.07	54.49\
132	663.1	55.47\
133	668.12	54.49\
134	673.14	54.98\
135	678.16	53.52\
136	683.19	53.52\
137	688.21	54.00\
138	693.23	54.00\
139	698.26	53.52\
140	703.28	53.52\
141	708.3	53.52\
142	713.33	53.52\
143	718.35	53.52\
144	723.37	54.00\
145	728.4	53.03\
146	733.42	53.03\
147	738.44	53.52\
148	743.46	53.03\
149	748.48	52.54\
150	753.51	53.03\
151	758.53	53.03\
152	763.55	52.05\
153	768.58	52.54\
154	773.6	52.54\
155	778.62	53.03\
156	783.64	53.03\
157	788.67	52.54\
158	793.69	52.54\
159	798.71	52.54\
160	803.73	52.05\
161	808.76	53.03\
162	813.78	52.54\
163	818.8	52.54\
164	823.83	52.54\
165	828.85	52.54\
166	833.87	52.05\
167	838.89	51.56\
168	843.92	51.56\
169	848.94	52.05\
170	853.96	52.54\
171	858.99	51.56\
172	864.01	52.05\
173	869.03	52.54\
174	874.05	51.56\
175	879.08	52.54\
176	884.1	52.05\
177	889.12	52.54\
178	894.15	52.05\
179	899.17	52.54\
180	904.19	52.05\
181	909.21	52.54\
182	914.24	52.05\
183	919.26	52.05\
184	924.28	52.05\
185	929.3	52.05\
186	934.33	52.54\
187	939.35	52.54\
188	944.37	52.54\
189	949.4	52.05\
190	954.56	55.47\
191	959.59	52.05\
192	964.61	52.54\
193	969.63	52.54\
194	974.66	53.03\
195	979.68	51.07\
196	984.7	52.54\
197	989.72	52.05\
198	994.75	52.05\
199	999.77	52.05\
200	1004.79	51.56\
201	1009.82	51.07\
202	1014.84	51.56\
203	1019.86	51.56\
204	1024.89	51.56\
205	1029.91	51.56\
206	1034.93	51.56\
207	1039.95	51.56\
208	1044.98	51.07\
209	1050	52.05\
210	1055.02	51.07\
211	1060.04	51.56\
212	1065.07	52.54\
213	1070.09	52.05\
214	1075.11	52.05\
215	1080.13	52.05\
216	1085.16	51.56\
217	1090.18	51.56\
218	1095.2	50.10\
219	1100.22	51.56\
220	1105.25	51.07\
221	1110.27	51.56\
222	1115.42	51.56\
223	1120.44	51.56\
224	1125.46	51.56\
225	1130.48	51.56\
226	1135.51	51.56\
227	1140.54	51.56\
228	1145.56	51.56\
229	1150.58	51.56\
230	1155.6	51.56\
231	1160.63	51.56\
232	1165.65	51.07\
233	1170.67	51.56\
234	1175.69	51.07\
235	1180.72	50.59\
236	1185.74	51.56\
237	1190.76	51.07\
238	1195.78	51.07\
239	1200.81	51.07\
240	1205.83	51.07\
241	1210.85	51.07\
242	1215.88	51.07\
243	1220.9	51.07\
244	1225.92	51.56\
245	1230.94	51.07\
246	1235.96	51.07\
247	1240.99	50.59\
248	1246.01	51.07\
249	1251.03	50.59\
250	1256.06	51.07\
251	1261.08	51.07\
252	1266.1	51.07\
253	1271.25	50.59\
254	1276.28	51.07\
255	1281.3	50.59\
256	1286.32	50.59\
257	1291.34	50.59\
258	1296.37	51.07\
259	1301.39	50.59\
260	1306.41	50.59\
261	1311.44	51.07\
262	1316.46	51.07\
263	1321.48	50.59\
264	1326.5	50.59\
265	1331.53	50.59\
266	1336.55	50.59\
267	1341.57	50.59\
268	1346.59	50.59\
269	1351.62	50.59\
270	1356.64	50.10\
271	1361.66	50.59\
272	1366.68	50.59\
273	1371.71	50.59\
274	1376.73	49.61\
275	1381.75	50.10\
276	1386.78	50.10\
277	1391.8	49.12\
278	1396.82	50.10\
279	1401.84	51.07\
280	1406.87	50.59\
281	1411.89	50.59\
282	1416.91	50.59\
283	1421.94	49.61\
284	1427.09	53.03\
285	1432.11	50.10\
286	1437.14	50.10\
287	1442.16	50.59\
288	1447.18	50.10\
289	1452.2	50.59\
290	1457.23	50.10\
291	1462.25	50.59\
292	1467.27	49.61\
293	1472.29	48.63\
294	1477.32	51.07\
295	1482.34	49.61\
296	1487.36	50.59\
297	1492.39	50.59\
298	1497.41	50.59\
299	1502.43	49.61\
}		
